"","WT_1411","WT_1601","WT_1710","KO_1411","KO_1601","KO_1710"
"ENSMUSG00000002767.13",539,574,320,279,380,107
"ENSMUSG00000002768.8",349,339,185,222,335,96
"ENSMUSG00000002769.9",7,5,5,1,7,0
"ENSMUSG00000002771.12",0,6,11,0,0,4
"ENSMUSG00000002778.14",1286,1563,857,1022,1227,351
"ENSMUSG00000002781.19",102,117,60,56,70,23
"ENSMUSG00000002791.17",0,3,3,0,1,0
"ENSMUSG00000002797.9",92,103,45,54,69,27
"ENSMUSG00000002799.6",99,106,53,58,79,26
"ENSMUSG00000002803.14",142,170,85,123,149,48
"ENSMUSG00000002804.4",274,320,180,215,267,75
"ENSMUSG00000002808.7",7,8,0,6,7,5
"ENSMUSG00000002812.4",5818,5621,3363,3331,5034,1310
"ENSMUSG00000002814.15",640,767,489,509,627,150
"ENSMUSG00000002820.6",275,299,168,207,277,78
"ENSMUSG00000002825.8",183,154,126,92,156,28
"ENSMUSG00000002831.14",2,12,0,8,6,0
"ENSMUSG00000002833.11",1732,1504,888,890,1516,401
