"","log2FoldChange","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","padj","gene_symbol"
"Brat1",-0.0329504146402364,6.06331447500389,-0.517543068048621,0.61841336841867,0.874492175953031,-6.48308505505384,"Brat1",4,-0.468719732225904,0.651334895174055,0.883055503708564,"Brat1"
"Pmm2",0.0327750896857957,8.54786064425879,0.419028281582751,0.685931111193223,0.904873442731272,-6.53258534874549,"Pmm2",10,0.468672495900129,0.651367285247371,0.883055503708564,"Pmm2"
"Trerf1",0.105995131555828,4.66584291662725,0.475088939093409,0.647091066891715,0.88943928506421,-6.50562537582473,"Trerf1",6,0.468509056772191,0.651479361928267,0.883055503708564,"Trerf1"
"Rad54l",0.143600114248129,3.21364007125866,0.484613318775771,0.640600417873705,0.886146358176323,-6.50072661378484,"Rad54l",3,0.46803986628616,0.651801156464118,0.883125798594294,"Rad54l"
"Ddx58",0.0297910877129208,9.04732671884581,0.410151681827461,0.692176738356855,0.907279242123915,-6.53655792175206,"Ddx58",19,0.4677514891917,0.651998978329134,0.883125798594294,"Ddx58"
"Hgs",-0.0311528466261013,8.61629893229484,-0.52319964267824,0.614642631218331,0.873288525297429,-6.47994529733765,"Hgs",12,-0.467596068996095,0.652105606067134,0.883125798594294,"Hgs"
"Znrf2",-0.0593215562920673,3.48374606440677,-0.4792442511733,0.64425533693967,0.888001310764201,-6.50349943040881,"Znrf2",3,-0.467492329812354,0.652176782185589,0.883125798594294,"Znrf2"
"Zhx3",-0.372744590821346,2.644911040761,-0.464206085162721,0.654546803490949,0.892074746874838,-6.5111102234321,"Zhx3",2,-0.466863681623293,0.652608182327935,0.883323694456466,"Zhx3"
"Irf3",0.0422384322739333,8.72787654885341,0.443735654577198,0.668682192941762,0.89880347820617,-6.52110008844792,"Irf3",10,0.466618839104058,0.652776239155546,0.883323694456466,"Irf3"
"Sting1",0.111889054442005,4.98511244363367,0.467918559876503,0.6519987495901,0.890399862494395,-6.5092527002684,"Sting1",3,0.466382410864717,0.652938540423776,0.883323694456466,"Sting1"
"Stx7",-0.0947264658622169,5.86826475464258,-0.468860690312377,0.651352886696322,0.890382961779234,-6.50877907887812,"Stx7",6,-0.465819628193184,0.653324953343359,0.883323694456466,"Stx7"
